大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
巨陀之事予之過也,免死,許擊賊贖罪.	Việc cực đà là lỗi ở ta, tha cho hắn tội chết, cho phép hắn đánh giặc chuộc tội ".
時,帝親率六.	Khi vua thân hành thống lĩnh sáu quân Giấy tờ trong quân không có ấn.
師禦冦. 掌印官倉卒藏宝玺於大明殿梁上,但帶内密印隨行.	Đi chống giặc, quan giữ ấn vội vàng giấu ấn báu lên rường điện đại minh, chỉ đem ấn nội mật đi theo.
途中印又亡.	Giữa đường, ấn ấy lại mất.
軍中文書無印,帝命工刻木為之.	Vua sai thợ khắc gỗ làm ấn.
及駕回京,又有進亡印者,所藏宝玺依然猶在.	Đến khi xa giá về kinh, lại có người đem dâng con ấn bị mất, ấn báu giấu đi vẫn còn nguyên ở chỗ cũ.
戊午八年,[三月以後聖宗紹隆元年,宋寶祐六年,]春正月,朔,帝御正殿朝百官.	Mậu ngọ, na thứ tám, (từ tháng ba về sau là thánh tông thiệu long năm thứ nhất, tống bảo hựu năm thứ sáu).
百姓安堵如故.	Trăm họ yên nghiệp như cũ.
定功,行封授黎輔陳御史大夫,仍以昭聖公主㱕之.	Định công phong tước: cho lê phụ trần làm ngự sử đại phu; lại đem công chúa chiêu thánh gả cho.
曰:朕非卿𡸈復有今日.	Vua nói: " trẫm không có khanh, thì đâu có ngày nay. Khanh hãy cố gắng để cùng được trọn vẹn về sau ".
卿其勉之共成厥終. 史臣吳士連曰:陳朝君臣瀆夫婦之偷又於斯. 遣使通好于宋.	Sử thần ngô sĩ liên nói: vua tôi nhà trần coi thường đạo vợ chồng lại thấy ở đây Sai sứ sang thông hiếu với nhà tống.
遣黎輔陳,周博覽如元.	Sai lê phụ trần, chu bác lãm sang nguyên.
時元使來索歲幣,增其職貢,紛紜不定.	Lúc này, sứ nguyên sang đòi lễ vật hằng năm, đòi tăng thêm tiến cống, lung tung không định.
帝命輔陳徃以博覽副之.	Vua sai lê phụ trần đi sứ, lấy bác lãm làm phó.
卒,定三年一貢為常例.	Cuối cùng qui định ba năm một lần tiến cống, coi là thường lệ.
二月二十四日,帝傳位于皇太子晃,遜居北宫.	Tháng hai, ngày hai mươi bốn, vua nhường ngôi cho hoàng thái tử hoảng, lui ở bắc cung.
太子即皇帝位改元紹隆元年. 稱仁皇,尊上皇曰顯堯聖壽太上皇帝.	Thái tử lên ngôi hoàng đế, đổi niên hiệu là thiệu long năm thứ nhất. Vua tự xưng là nhân hoàng, tôn thượng hoàng là hiển nghiêu thánh thọ thái thượng hoàng đế.
史臣吳士連曰:自夏禹傳子之後,父崩子繼,兄殁弟乘,未為常法.	Sử thần ngô sĩ liên nói: từ khi hạ vũ truyền ngôi cho con thì cha chết con nối, anh chết em thay, đã thành phép thường mãi mãi.
陳氏家法乃異於,是子既長. 即使承正,位而父退居聖慈宫,以上皇稱,同聽政,其實但傳大噐以定後事僃倉卒,爾事皆取决於上皇.	Gia pháp họ trần lại khác thế: con đã lớn Thì cho nối ngôi chính, còn cha lui ở cung thánh từ, xưng là thượng hoàng, cùng trông coi chính sự.
嗣主無異於皇太子也,然則於道得乎?	Vua kế vị không khác gì hoàng thái tử cả.
盖取乾退居西北而震進出東方之意.	Có lẽ là lấy nghĩa quẻ càn lui ở phương tây bắc và quẻ chấn tiến ra phương đông.
然未至於耄期倦勒不可也.	Nhưng chưa đến lúc già nua thì không được lười mỏi.
曷若繼承如三王以正其始終之為愈.	Sao bằng cứ truyền nối như tam vương để đúng lẽ thuỷ chung là hơn cả.
孟子曰:遵先王之法而過也未之有也.	Mạnh tử nói: " theo phép của tiên vương mà lỗi lầm thì chưa bao giờ có thế ".
群臣上尊號曰憲天體道大明光孝皇帝.	Các quan dâng tôn hiệu là hiến thiên thể đạo đại minh quang hiếu hoàng đế.
众诸侯内有济北相鲍信，寻思孙坚既为前部，怕他夺了头功，暗拨其弟鲍忠，先将马步军三千，径抄小路，直到关下搦战。	Trong bọn chư hầu, có Pháo Tín là tướng ở Tế Bắc, thấy Tôn Kiên được đi làm tiên phong, sợ Kiên cướp mất công đầu, bèn mật sai em là Pháo Trung, đem năm nghìn quân mã bộ đi đường tắt, ra thẳng trước cửa quan khiêu chiến.
华雄引铁骑五百，飞下关来，大喝：“贼将休走！” 鲍忠急待退，被华雄手起刀落，斩于马下，生擒将校极多。	Hoa Hùng đem năm trăm quân thiết kỵ ra ngoài cửa quan, thét lớn: "Tướng giặc chớ chạy!".
华雄遣人赍鲍忠首级来相府报捷，卓加雄为都督。	Pháo Trung vội lui, bị Hoa Hùng chém chết, tướng tá bị bắt sống rất nhiều. Hoa Hùng sai người đem đầu Pháo Trung về báo tiệp. Trác giao ngay cho Hùng làm đô đốc.
却说孙坚引四将直至关前。	Đây nói chuyện Tôn Kiên dẫn bốn tướng đến trước cửa Dĩ Thủy.
那四将？	Bốn tướng ấy là: Một.
——第一个，右北平土垠人，姓程，名普，字德谋，使一条铁脊蛇矛；第二个，姓黄，名盖，字公覆，零陵人也，使铁鞭；第三个，姓韩，名当，字义公，辽西令支人也，使一口大刀；第四个，姓祖，名茂，字大荣，吴郡富春人也，使双刀。	Trình Phổ, tên chữ là Đức Mưu, người Thổ Ngân, ở Hữu Bắc Bình; Phổ cầm một ngọn xà mâu sắt. Hai. Hoàng Cái, tên chữ là Công Phúc, người ở Linh Lăng; Cái cầm một ngọn roi sắt. Ba.
	Hàn Đương, tên chữ là Công Nghĩa, người Linh Chi, tỉnh Liêu Tây; Đương cầm một con dao lớn.
孙坚披烂银铠，裹赤帻，横古锭刀，骑花鬃马，指关上而骂曰：“助恶匹夫，何不早降！”	Bốn. Tổ Mậu, tên chữ là Đại Vinh, người ở Phú Xuân, quận Ngô; Mậu hai tay cầm hai dao. Tôn Kiên mình mặc áo giáp bạc, đầu đội mũ chóp đỏ, cắp dao Cổ Dĩnh, cưỡi ngựa Hoa Tôn, trỏ tay lên trên cửa quan mà mắng rằng: - Thằng tiểu nhân đi phò giặc kia! Sao không mau mau xuống hàng?
华雄副将胡轸引兵五千出关迎战。	Phó tướng của Hoa Hùng là Hồ Chẩn, dẫn năm nghìn quân xuống dưới cửa quan nghênh địch.
程普飞马挺矛，直取胡轸。	Tướng Kiên là Trương Phổ vác ngọn mâu, phi ngựa ra thẳng đánh Hồ Chẩn.
斗不数合，程普刺中胡轸咽喉，死于马下。	Đánh nhau được vài hiệp Phổ đâm trúng cổ họng Chẩn, chết ngã từ trên ngựa xuống đất.
坚挥军直杀至关前，关上矢石如雨。 孙坚引兵回至梁东屯住，使人于袁绍处报捷，就于袁术处催粮。	Kiên bèn thúc quân xông đến trước cửa quan. Trên cửa bắn tên, ném đá xuống như mưa. Kiên phải lui binh về đóng ở Lương Đông, sai người đến chỗ Viên Thiệu báo tiệp và đến chỗ Viên Thuật thúc giục lương thảo.
或说术曰：“孙坚乃江东猛虎；若打破洛阳，杀了董卓，正是除狼而得虎也。	Bấy giờ có người xui Thuật rằng: - Tôn Kiên là một con hổ dữ ở đất Giang Đông, nếu ta để cho nó phá được Lạc Dương, giết được Đổng Trác, thì khác gì trừ được lang mà lại gặp hổ.
今不与粮，彼军必散。”	Nay đừng phát lương, quân hắn sẽ tan vỡ.
术听之，不发粮草。	Thuật nghe, bèn không cấp lương cho Tôn Kiên.
孙坚军缺食，军中自乱，细作报上关来。	Kiên cạn lương, trong quân rối loạn. Quân do thám biết, về cửa quan báo tin.
李肃为华雄谋曰：“今夜我引一军从小路下关，袭孙坚寨后，将军击其前寨，坚可擒矣。”	Lý Túc bàn với Hoa Hùng rằng: - Đêm hôm nay ta đem một toán quân, đi lần con đường nhỏ xuống đánh đằng sau trại Tôn Kiên, tướng quân đánh đằng trước, chắc bắt được nó.
雄从之，传令军士饱餐，乘夜下关。	Hùng nghe kế ấy, truyền lệnh cho quân sĩ ăn no, để đêm xuống cửa quan đánh giặc.
是夜月白风清。	Đêm hôm ấy, gió mát trăng trong.
到坚寨时，已是半夜，鼓噪直进。 坚慌忙披挂上马，正遇华雄。	Quân Hùng đến trại Kiên bấy giờ độ nửa đêm, đánh trống hò reo kéo vào. Kiên vội vàng mặc áo cưỡi ngựa đi ra, vừa gặp Hoa Hùng đến.
两马相交，斗不数合，后面李肃军到，竟天价放起火来。	Hai bên đánh nhau được vài hiệp, mặt sau Lý Túc kéo vào sai quân sĩ phóng hỏa.
坚军乱窜。	Quân Tôn Kiên rối loạn.
众将各自混战，止有祖茂跟定孙坚，突围而走。	Các tướng đánh lộn nhau, duy có Tổ Mậu theo Kiên phá vây chạy.
背后华雄追来。	Hoa Hùng từ mặt sau đuổi dồn lên.
坚取箭，连放两箭，皆被华雄躲过。 再放第三箭时，因用力太猛，拽折了鹊画弓，只得弃弓纵马而奔。	Kiên cầm cung bắn hai phát tên, Hùng đều tránh được cả, lại giương cung bắn một phát nữa, kéo quá sức gãy mất cung thước hoa phải vứt bỏ cung tế ngựa chạy.
祖茂曰：“主公头上赤帻射目，为贼所识认。	Tổ Mâu bảo Kiên rằng: - Cái mũ chóp đỏ trên đầu của chúa công, bị giặc nó nhận được.
可脱帻与某戴之。”	Xin cởi mũ đưa cho tôi đội.
坚就脱帻换茂盔，分两路而走。	Kiên liền cởi mũ đánh đổi cho Mậu, rồi hai người chia đường chạy ra hai ngã.
雄军只望赤帻者追赶，坚乃从小路得脱。 祖茂被华雄追急，将赤帻挂于人家烧不尽的庭柱上，却入树林潜躲。	Quân Hoa Hùng cứ đuổi theo người đội mũ chóp đỏ. Kiên chạy sang con đường nhỏ được thoát. Tổ Mậu bị Hoa Hùng đuổi kíp lắm, bèn bỏ mũ ra, treo vào một cái cột nhà cháy dở, rồi trốn vào rừng rậm, núp một chỗ.
华雄军于月下遥见赤帻，四面围定，不敢近前。 用箭射之，方知是计，遂向前取了赤帻。	Quân Hùng, thấp thoáng dưới bóng trăng, trông thấy cái chóp mũ đỏ ở chỗ nhà cháy cứ vây bọc bốn mặt lại, không dám đến gần, rồi sau lấy tên bắn mãi mới biết bị lừa.
祖茂于林后杀出，挥双刀欲劈华雄；雄大喝一声，将祖茂一刀砍于马下。	Tổ Mậu ở trong rừng lúc bấy giờ xông ra, hai tay múa đôi dao, chực chém Hoa Hùng, Hùng thét to một tiếng, đưa một nhát dao, Mậu chết lăn xuống dưới ngựa.
杀至天明，雄方引兵上关。	Đánh nhau vừa đến tận sáng, Hùng mới kéo quân về.
程普、黄盖、韩当都来寻见孙坚，再收拾军马屯扎。	Trình Phổ, Hàn Dương, Hoàng Cái tìm thấy Tôn Kiên, thu nhập quân mã lại rồi đóng trại ở.
坚为折了祖茂，伤感不已，星夜遣人报知袁绍。	Tôn Kiên thấy mất Tổ Mậu, thương xót lắm, bèn cấp tốc cho người đi báo Viên Thiệu.
绍大惊曰：“不想孙文台败于华雄之手！”	Thiệu thất kinh nói: - Không ngờ Tôn Văn Đài mà thua Hoa Hùng!
便聚众诸侯商议。	Thiệu họp chư hầu để bàn bạc.
众人都到，只有公孙瓒后至，绍请入帐列坐。 绍曰：“前日鲍将军之弟不遵调遣，擅自进兵，杀身丧命，折了许多军士；今者孙文台又败于华雄：挫动锐气，为之奈何？”	Chư hầu đến cả, chỉ có Công Tôn Toản đến sau. Thiệu mời các tướng vào ngồi sắp hàng trong trướng rồi nói rằng: - Em Pháo Tín không theo mệnh lệnh, tự tiện tiến binh, mình bị giết, quân sĩ chết nhiều. Đến nay Tôn Văn Đài cũng bị thua, mất hết nhuệ khí, các tướng định thế nào?
诸侯并皆不语。	Chư hầu không ai nói gì cả.
绍举目遍视，见公孙瓒背后立着三人，容貌异常，都在那里冷笑。	Thiệu ngẩng mặt lên nhìn chỉ thấy sau lưng Công Tôn Toản có ba người dị thường, đứng cười mát.
绍问曰：“公孙太守背后何人？”	Thiệu hỏi ai.
瓒呼玄德出曰：“此吾自幼同舍兄弟，平原令刘备是也。”	Toản gọi Lưu Bị ra và nói rằng: - Người này là anh em bạn học với tôi thuở nhỏ, hiện đang làm quan lệnh Bình Nguyên. Tên là Lưu Bị.
曹操曰：“莫非破黄巾刘玄德乎？”	Tháo hỏi: - Có phải là Lưu Huyền Đức đánh tan giặc Khăn Vàng khi xưa không?
瓒曰：“然。” 即令刘玄德拜见。 瓒将玄德功劳，并其出身，细说一遍。	Toản nói phải, rồi bảo Lưu Bị ra chào các quan, nhân thể đem công lao và hoàn cảnh xuất thân của Bị ra, nói chuyện để các tướng nghe.
绍曰：“既是汉室宗派，取坐来。”	Thiệu thấy nói Lưu Bị là tôn phái nhà Hán bèn sai lấy ghế mời ngồi.
命坐。 备逊谢。	Lưu bị khiêm tốn không dám ngồi.
绍曰：“吾非敬汝名爵，吾敬汝是帝室之胄耳。”	Thiệu nói: - Ta kính không phải là kính danh tước nhà ngươi mà là kính người tôn thất nhà vua đấy thôi!
玄德乃坐于末位，关、张叉手侍立于后。	Lưu Bị mới ngồi xuống ghế ở hàng cuối cùng. Quan Vũ, Trương Phi chắp tay đứng hầu đằng sau.
忽探子来报：“华雄引铁骑下关，用长竿挑着孙太守赤帻，来寨前大骂搦战。”	Đương khi ấy, có quân do thám lại báo: - Hoa Hùng dẫn quân thiết kỵ xuống cửa quan, nó lấy sào cắm cái chóp mũ của Tôn thái thú, đến trước cửa trại, hò hét thách đánh.
绍曰：“谁敢去战？”	Thiệu hỏi: - Ai dám ra trận?
袁术背后转出骁将俞涉曰：“小将愿往。”	Sau lưng Viên Thuật, có một tướng lực lưỡng, tên là Du Thiệp bước ra thưa rằng: - Tiểu tướng xin ra.
绍喜，便著俞涉出马。	Thiệu mừng sai Thiệp ra.
即时报来：“俞涉与华雄战不三合，被华雄斩了。”	Vừa được một lát, có người về báo: - Thiệp đánh nhau với Hoa Hùng được ba hiệp, bị Hùng chém chết rồi!
众大惊。	Các tướng cả sợ.
太守韩馥曰：“吾有上将潘凤，可斩华雄。”	Thái thú Hàn Phức nói: - Tôi có thượng tướng Phan Phụng có thể chém được Hoa Hùng.
绍急令出战。	Thiệu bèn sai Phan Phụng ra đánh.
潘凤手提大斧上马。	Phụng tay cầm một cái búa to, lên ngựa, ra được một lát, lại bị Hoa Hùng chém chết.
