会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
数月复旧秩。六年进封。雍熙中连知沧、雄、定三州。	Vài tháng lại trở về trật tự cũ Được phong tước sau sáu năm Trong thời kỳ Ung Hưng, liên kết với Triều Cống, định rõ ba châu.
拜安化军节度。召还为河北两路排阵使屯定州。	Bái An Hóa Quân Tiết Độ Triệu hồi về làm Tướng chỉ huy trận tuyến hai đường ở Hà Bắc, đóng quân tại Định Châu.
尝与契丹战斩获甚众。	Đã từng chiến đấu với người Khiết Đan, chém giết rất nhiều.
二年丁内艰起复。	Năm thứ hai, trong cảnh khó khăn, lại khởi phục.
淳化初又代知镇州。	Vào đầu triều đại Thuần Hóa, lại thay thế người cai trị Trấn Châu.
二年改泰宁军节度兼侍中出判并州兼并代都部署。	Năm thứ hai, đổi chức Giám đốc quân đội Thái Ninh kiêm Thị trung, đảm nhiệm việc quản lý tỉnh Bình Châu và kiêm nhiệm chức vụ Đô đốc tỉnh Đái.
永天文术尝与僚佐会食有报辽兵寇州境者用《太白万胜诀》占之语坐客曰：「彼虽以年月便利乘金而来反值岁星对逆兵家大忌必败」。	Vĩnh Thiên Văn Thụ đã từng cùng các đồng liêu hội ẩm, có tin báo rằng quân Liêu xâm lấn biên giới. Ông dùng phương pháp Thái Bạch Vạn Thắng để chiêm nghiệm, nói rằng: "Dù họ đến đây vào thời điểm thuận lợi, nhưng lại gặp phải sao Năm đối nghịch, đây là điều đại kỵ của quân sự, ắt sẽ thất bại."
未几捷报至众始欢伏。	Chẳng bao lâu, tin vui đến, mọi người bắt đầu vui mừng.
自五代用兵多姑息藩镇颇恣部下贩鬻。	Từ thời Ngũ Đại, việc dùng binh thường hay nhượng bộ cho các phiên trấn, khiến cho thuộc hạ tự do buôn bán.
宋初功臣犹习旧事。太宗初即位诏群臣乘传出入不得继货邀利及令人诸处图回与民争利。	Những công thần đầu triều Tống vẫn giữ thói quen cũ Thái Tông mới lên ngôi ban chiếu cho các quan lại rằng: "Khi đi lại bằng xe ngựa, không được tiếp tục buôn bán để kiếm lợi, cũng không được sai người đến các nơi để tranh giành lợi ích với dân."
在太原尝令亲吏贩茶规利阑出徼外市羊为转运使所发罢为左卫上将军。真宗即位进封卫国公。	Tại Thái Nguyên, đã từng ra lệnh cho các quan lại thân tín buôn trà, quy định lợi nhuận, để xuất khẩu ra ngoài thị trường, làm cho các bầy cừu trở thành hàng hóa cho các sứ giả vận chuyển, cuối cùng được phong làm Tả Vệ Thượng Tướng Quân.
未几判左金吾街仗事。咸平初屡表请老授仍以其孙大理寺丞厘务洛下以便就养。	Chân Tông đăng quang, thăng phong vệ quốc công Chưa lâu sau, xét xử việc đánh nhau ở phố Tả Kim Ngô Vào đầu niên hiệu Hiền Bình, nhiều lần dâng biểu xin cho lão nhân được thụ phong, đồng thời để cho cháu ông là Đạo lý tự thừa kế việc quản lý ở Lạc Hạ, nhằm thuận lợi cho việc dưỡng lão.
二年冬契丹入边帝将北巡以宿将召入对便殿赐坐访以边要。	Năm thứ hai, vào mùa đông, người Khất Đan xâm nhập biên giới. Hoàng đế chuẩn bị Bắc tuần, triệu tập các tướng quân vào cung, ban ghế ngồi và hỏi thăm về tình hình biên giới.
以老不可从行留为东京内外都巡检使。三年制授检校太师、彰德军节度、。	Lấy lão không thể theo hành lưu làm Đô tuần kiểm sứ nội ngoại Đông Kinh Ba năm chế độ, ban chức kiểm tra Thái sư, tôn vinh quân tiết độ Trương Đức.
俄以衰耄命还本镇。是秋卒年七十三。	Nga vì tuổi già mà trở về quê hương Năm thu qua đời, thọ bảy mươi ba tuổi.
遣内园使冯守规护柩还京师、赠。	Gửi sứ giả vào nội viên, Phùng Thủ Quy bảo vệ quan tài trở về Kinh Sư.
诸孙迁秩者五人。出母后适安邑刘祚。及镇南阳祚已卒迎母归州廨起二堂与继母刘并居。	Năm người con cháu được thăng chức Xuất mẫu hậu đến An Ấp Lưu Tắc Khi đã hoàn thành việc tang lễ của cha, đón mẹ trở về tỉnh, dựng hai tòa nhà, cùng với mẹ kế Lưu sống chung.
刘卒马预中参时年八十一太宗劳之赐冠帔封莒国太夫人。	Lưu Tốt Mã Dự, vào năm thứ tám mươi mốt, được triều Tống ban thưởng, tặng mũ áo, phong làm Thái phu nhân nước Cự.
同母弟刘再思署子城使于市西里起大第聚刘族。	Đệ cùng mẹ là Lưu Tái Tư, làm chức Tể ở thành phố phía tây, xây dựng đại viện để tụ họp dòng họ Lưu.
初寓睢阳有书生邻居卧疾疗之获愈。	Khi mới đến Suiyang, có một người hàng xóm là thư sinh, bị bệnh nằm liệt, được chữa trị và đã khỏi.
生一日就求汞五两既得即置鼎中煮之成中金。	Sinh một ngày liền cầu thủy ngân năm lượng, vừa được liền đặt vào đỉnh mà nấu thành trung kim.
自是日与游一日告适淮上语曰：「后当相遇于彼」。	Kể từ ngày đó, ta cùng bạn đã hẹn sẽ gặp nhau bên bờ sông Huai.
曰：「吴境不通子何可去？」	Nói rằng biên giới Ngô không thông, con có thể đi đâu để sinh sống?
生曰：「吾自有术」。	Nói rằng ta tự có phép thuật.
送行数舍恳求药法生曰：「君当大贵吾不吝此虑损君福」。	Tiễn đưa vài bước, khẩn cầu phương thuốc, người nói: "Ngài sẽ đại phú quý, ta không tiếc điều này, lo lắng làm giảm phúc của ngài."
言讫而去。及屯下蔡牙帐前后队部曲八百人皆金银刀槊绣旗帜。	Nói xong rồi đi Và tại trại dưới, trước và sau trướng của Tống Tử, có tám trăm người lính, đều mang kiếm bạc, đao vàng, và cờ xí thêu thùa.
善骑射左右分挂十的握十矢疾驰互发发必中。	Giỏi cưỡi ngựa bắn cung, hai bên phân chia, nắm mười mũi tên, nhanh chóng phóng ra, bắn trúng không sai.
夜宿帐中复求汞法。僧曰：「始语君贵今不谬矣。	Đêm nằm trong trướng lại tìm phương pháp thủy ngân Sư nói: "Lời khởi đầu của ngài thật quý giá, nay không sai chút nào."
终能谨节当保五十年富贵安用此为？然能降志礼贤当别有授公药法者」。	Cuối cùng có thể giữ gìn tiết tháo, bảo vệ phúc lộc trong năm mươi năm, an hưởng cuộc sống này, có thể hạ thấp chí hướng, tôn trọng người hiền tài, cần phải có cách riêng để truyền授 thuốc thang.
由此益罄家资延致方士故太祖以方外待之。	Vì vậy, gia sản của họ đã cạn kiệt, kéo dài đến nỗi các đạo sĩ đã được Thái Tổ tiếp đãi như những người bên ngoài.
初睢阳书生尝言太祖受命之兆以故潜意拱响。	Lúc đầu, thư sinh ở Suí Dương từng nói rằng điềm báo của Thái Tổ nhận mệnh, vì vậy mà âm thầm ý thức được sự vang dội.
太祖将聘孝明皇后也出缗钱金帛数千以助之故尽太祖朝而恩渥不替。	Thái Tổ đã định tuyển chọn Hoàng hậu Hiếu Minh, cũng đã xuất ra hàng nghìn tiền vàng, lụa là để trợ giúp, vì vậy ân huệ của Thái Tổ triều không hề thay đổi.
孙虞部员外郎文炳殿中丞。并州太原人。其父事庄宗为岢岚军使私畜勇士馀人庄宗疑其有异志。	Tôn Ngự Bộ Viên Ngoại Lang Văn Bỉnh Điện Trung Thừa Người ở Đài Nguyên, Bình Châu Cha của ông phục vụ cho Zhuang Zong với tư cách là sứ giả quân Kê Lan, nuôi dưỡng những chiến sĩ dũng cảm, Zhuang Zong nghi ngờ ông có ý đồ khác.
召之惧不敢行。时年十二谓其父曰：「此盖疑大人有他图愿以为质必得释」。	Gọi mà sợ không dám hành động Năm đó mười hai tuổi, nói với cha rằng: "Điều này có lẽ là nghi ngờ, bậc đại nhân có âm mưu khác, mong muốn lấy làm bảo chứng, chắc chắn sẽ được giải thoát."
父从其计果获全因以隶帐下。	Cha theo kế hoạch của ông, cuối cùng đã thu được toàn thắng nhờ vào việc phục vụ dưới trướng.
及庄宗入洛累历内职。同光末国有内难兵入宫城近臣宿将皆弃甲遁去惟与等十数人居中拒战。	Và khi Trang Tông vào Lạc Dương, trải qua nhiều chức vụ nội bộ Cuối triều Đồng Quang, quốc gia xảy ra nội loạn, quân lính xông vào cung điện, các quan gần gũi và tướng lĩnh đều bỏ giáp chạy trốn, chỉ còn lại mười mấy người chúng ta đứng giữa kháng cự.
庄宗中流矢扶掖至绛霄殿恸哭而去。	Trang Tông giữa dòng tên trúng phải, nâng đỡ đến điện Giáng Tiêu, khóc thương mà đi.
即位补禁军列校。晋初从侯益破张从宾于汜水以功迁护圣指挥使。	Lên ngôi bổ nhiệm quân cấm vệ Vào đầu triều đại Tấn, từ Hầu Ích đánh bại Trương Tòng Bân tại sông Tứ, nhờ công lao mà được thăng chức làm Chỉ huy sứ Hộ Thánh.
周广顺初改护圣为龙捷以为右厢都指挥使。	Triệu Quảng Thuận lần đầu đổi chức Hộ Thánh thành Long Tiết, được bổ nhiệm làm Đô Chỉ Huy Sứ bên phải.
及讨慕容于兖州为行营马步都校。	Và đánh bại Mộ Dung tại Dương Châu, giữ chức Đô Hiệu trưởng bộ binh và kỵ binh.
显德中从向训平秦、凤遂领。	Thời Hiển Đức, từ Hướng Huấn bình định đất Tần, Phượng Tụy lãnh đạo.
俄迁领。从世宗平淮南复瓦桥关改。宋初李筠以潞州叛与由东路会大军进讨以功拜。	Nga di chuyển lãnh thổ Từ Thế Tông bình Hoài Nam phục Vã Kiều Quan cải Thời đầu triều Tống, Lý Duyên vì phản loạn ở Lục Châu, đã cùng đại quân từ Đông Lộ tiến đánh, nhờ công lao mà được phong chức.
诏令完葺西山堡砦不逾时而就。	Chiếu lệnh hoàn thành việc sửa chữa thành Tây Sơn không được chậm trễ mà phải xong.
与等率兵入太原境俘数千人以归进克乐平。	Cùng nhau dẫn quân vào vùng Thái Nguyên, bắt giữ hàng ngàn người trở về, tiến đến Khắc Lạc Bình.
又为。即日下诏伐蜀命为率禁军步骑二万、诸州兵万人由凤州路进讨。	Lại vì Ngày hôm nay, ban chiếu chỉ đánh nước Thục, lệnh cho quân cấm đi bộ và cưỡi ngựa hai vạn, cùng với mười ngàn quân từ các châu tiến vào đường Phượng Châu để tiến công.
召示川峡地图授以方略。率兵拔干渠渡、万仞燕子二砦遂下兴州蜀刺史蓝思绾退保西县。	Gọi mời bản đồ sông núi để truyền đạt chiến lược Dẫn quân vượt qua bến cạn, vượt ngàn trượng, đến hai bến Yến Tử, rồi xuống Hưng Châu, Tư lệnh Thục là Lâm Tư Hoán rút về giữ huyện Tây.
败蜀军七千人获军粮四十馀万斛。	Bại quân Thục bảy ngàn người, thu được quân lương hơn bốn mươi vạn hộc.
进拔石圌、鱼关、白水二十馀砦先锋史延德进军三泉败蜀军灵数万擒招讨使、副使李进获粮三十馀万斛。	Tiến đánh đáy cá ở Quan Bạch Thủy, hơn hai mươi trại tiên phong của sử quan Thị Diên Đức tiến quân ba suối, đánh bại quân Thục, bắt sống hàng vạn lính, bắt được phó sứ Li Tiến và thu được hơn ba mươi vạn đấu lương thực.
既而、等逐蜀军过三泉遂至嘉陵杀虏甚众。	Sau đó, họ đuổi quân Thục qua Tam Tuyền, rồi đến Giang Lăng, giết chết rất nhiều tù binh.
蜀人断阁道军不能进议取罗川路以入潜谓彦进曰：「罗川路险军难并进不如分兵治阁道与大军会于深渡」。	Người Thục quyết định rằng quân đội không thể tiến vào đường Giác Đạo, bàn bạc lấy đường La Xuyên để vào. Quân sư Tiên nói rằng đường La Xuyên hiểm trở, quân khó có thể đồng tiến, không bằng chia quân sửa chữa Giác Đạo để hội quân với đại quân tại Thâm Độ.
彦进以白然之。命彦进、督治阁道数日成遂进击金山砦破小漫天砦。	Diễn tiến theo sự trắng trong Mệnh Yến tiến cử Giám chế các đạo, sau vài ngày thành công, tiến công Kim Sơn Trại, phá nhỏ Mạn Thiên Trại.
由罗川趣深渡与彦进会。蜀人依江列阵以待彦进遣张万友等夺其桥。	Từ Lạc Xuyên đến Thúy Độ gặp gỡ với Diên Tiến Người Thục dựa vào dòng sông xếp trận chờ đợi Yến Tiến phái Trương Vạn Hữu và những người khác chiếm cầu của họ.
会暮夜蜀人退保大漫天砦。	Khi đêm xuống, người Thục rút về bảo vệ Đại Mạn Thiên Trại Vào triều đại, Yến Tấn dẫn quân bạn chia làm ba đường tấn công, quân Thục đều là tinh nhuệ, đã đến nghênh chiến và bị đại bại. Nhân cơ hội thắng lợi, họ chiếm lấy đồn lũy.
诘朝彦进、、万友分三道击之蜀人悉其精锐来逆战又大破之乘胜拔其砦蜀将王审超、监军崇渥遁去复与三泉监军刘延祚、大将王昭远、引兵来战三战三败追至利州北。	Tướng Thục, Vương Thẩm Siêu, giám quân Trùng Oát đã trốn đi, lại cùng giám quân Tam Tuyến, Lưu Diên Tố, đại tướng Vương Chiêu Viễn dẫn quân đến chiến đấu. Ba trận đều thua, truy đuổi đến Bắc Lợi Châu.
昭远遁去渡桔柏江焚梁退守剑门。	Chiêu Viễn lẩn trốn qua sông Quất Bách, thiêu đốt Lương, giữ vững cửa Kiếm Môn.
遂克利州得军粮八十万斛。	Sau đó, chiếm được Lợi Châu, thu được quân lương tám mươi vạn hộc.
