子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
曰：未仁乎？	Như thế Quản Trọng không được coi là người có nhân chăng?
子曰：桓公九合诸侯，不以兵车，管仲之力也。	Khổng tử nói: Vua Tề Hoàn Công nhiều lần triệu tập họp chư hầu mà không dùng binh lực.
如其仁，如其仁。	Đó là nhờ công sức của Quản Trọng, như thế còn ai nhân bằng?
子贡曰：管仲非仁者与？	Tử Cống nói: Quản Trọng không phải là người có nhân chăng?
桓公杀公子纠，不能死，又相之。	Vua Tề Hoàn Công giết công tử Củ, Quản Trọng đã không tự sát lại còn làm tể tướng cho Tề Hoàn Công.
子曰：管仲相桓公，霸诸侯，一匡天下，民到於今受其赐。	Khổng tử nói: Quản Trọng làm tể tướng cho Tề Hoàn Công, giúp ông ta làm bá chủ chư hầu, khiến cho thiên hạ thái bình, đời nay dân chúng vẫn còn chịu ơn.
微管仲，吾其被发左衽矣。	Nếu không có Quản Trọng, sợ rằng hôm nay chúng ta còn đầu bù tóc rối, áo quần rách rưới, lang thang đó đây.
岂若匹夫匹妇之为谅也，自经於沟渎而莫之知也。	Quản Trọng đâu phải như người thường vì việc nhỏ mà tự sát ở khe núi để chẳng ai biết đến.
公叔文子之臣大夫僎与文子同升诸公。	Gia thần của Công Thúc Văn Tử là đại phu Soạn nhờ Công tiến cử mà được thăng chức đại thần.
子闻之，曰:“可以为文矣”。	Khổng tử nghe tin, nói: Công Thúc Văn Tử đáng được đặt tên thụy là “văn”.
子言卫灵公之无道也，康子曰：夫如是，奚而不丧？	Khổng tử chê vua Vệ Linh Công là kẻ vô đạo. Quý Khang tử hỏi: Dù cho Vệ Linh Công như vậy, sao nước Vệ không diệt vong?
孔子曰：仲叔圉治宾客，祝鮀治宗庙，王孙贾治军旅，夫如是，奚其丧？	Khổng tử đáp: Bởi vì nước Vệ có Trọng Thúc Ngữ giỏi việc ngoại giao, tiếp đãi tân khách, Chúc Đà quản lý tốt việc tế lễ tông miếu, Vương Tôn Giả giỏi cầm quân. Biết dùng người như vậy thì làm sao mất nước được?
子曰：“兲言之不怍，则为之也难”。	Khổng tử nói: Kẻ nói khoác mà không biết tủi thẹn, ắt là khó làm đúng lời đã nói.
陈成子弑简公。	Trần Thành Tử giết vua Tề Giản Công.
孔子沐浴而朝，告於哀公曰：“陈恒弑其君，请讨之”公曰：“告夫三子”。	Khổng tử tắm gội sạch sẽ, vào triều thưa với vua Lỗ Ai Công: “Trần Hằng đã giết vua của hắn, xin bệ hạ cho cử binh đi phạt tội hắn”. Vua Lỗ nói: Việc này báo cho ba đại phu biết đã.
孔子曰：以吾从大夫之后,不敢不告也。君曰告夫三子‟者。	Khổng tử lui ra nói: “Ta tuy thôi làm quan nhưng còn đứng sau hàng đại phu, cho nên biết việc này mà không thể không đi báo vua, thế mà vua lại bảo cứ đi hỏi ba đại phu kia”.
之三子告,不可。	Khổng tử đến báo cho ba đại phu kia, nhưng chẳng ai ưng thuận.
孔子曰：“以吾从大夫之后,不敢不告也”。	Khổng tử nói: Ta đứng sau hàng đại phu, cho nên biết việc này thì không thể không đi báo.
子路问事君。子曰：“勿欺也，而犯之”。	Tử Lộ hỏi về đạo thờ vua, Khổng tử nói: Không được lừa dối vua, dám can ngăn dù xúc phạm vua.
子曰：“君子上达，小人下达”。	Khổng tử nói: Quân tử càng hướng về đạo cao, tiểu nhân càng sa xuống thấp hèn.
子曰:“古之学者为己，今之学者为人”。	Khổng tử nói: Người xưa học cho mình, người đời nay học cho người khác.
蘧伯玉使人於孔子，孔子与之坐而问焉。	Cừ Bá Ngọc sai người tới thăm Khổng tử, Khổng tử mời khách ngồi rồi hỏi thăm: Phu tử.
曰：夫子何为？	Cừ nay làm gì?
对曰：“夫子欲寡兲过而未能也”。	Sứ giả đáp: Ông chủ con muốn giảm lỗi lầm mà chưa làm được.
使者出，子曰：使乎！使乎！	Sau khi sứ giả từ biệt ra về, Khổng tử khen: Thật là một sứ giả giỏi, sứ giả giỏi!
子曰:“不在兲位，不谋其政”.曾子曰:“君子思不出兲位”。	Khổng tử nói: Không giữ chức vụ gì thì đừng lo nghĩ về chức vị ấy.
子曰:“君子耻兲言而过其行”。	Khổng tử nói: Quân tử phải biết hổ thẹn vì lời nói quá so với việc làm.
子曰：“君子道者三,我无能焉：仁者不忧,知者不惑,勇者不惧”。子贡曰:“夫子自道也”。	Khổng tử nói: Đạo quân tử có ba điều mà ta chẳng làm được một. Người nhân không lo buồn, kẻ trí không nghi hoặc, người dũng không sợ hãi. Tử Cống thưa: Thầy nói khiêm tốn quá đấy.
子贡方人。	Tử Cống hay so sánh người hơn kẻ kém.
子曰：赐也贤乎哉？	Khổng tử nói: Người giỏi vậy ư?
夫我则不暇。	Ta thì không nhà n rỗi nói chuyện đó.
子曰：“不患人之不己知，患兲不能也”。	Khổng tử nói: Chẳng lo người ta không biết đến mình, chỉ lo mình không có khả năng đức độ để người ta biết đến.
子曰：不逆诈，不亿不信，抑亦先觉者，是贤乎！	Khổng tử nói: Không cần đoán trước sự lừa dối, sự bất tín của người khác, nhưng nếu có thì biết ngay. Như vậy coi là người hiền rồi.
微生亩谓孔子曰:丘,何为是栖栖者与?	Vi Sinh Mẫu nói với Khổng tử: Ông Khâu, sao cứ phải miệt mài dạy dỗ người đời như thế?
无乃为佞乎?	Phải chăng ông khoe tài ăn nói, đặng lấy lòng người ư?
孔子曰:非敢为佞也,疾固也。	Khổng tử đáp: Tôi không dám khoe tài, chỉ vì ghét những kẻ cố chấp không chịu hiểu đạo lý.
子曰：“骥不称其力，称其德也”。	Khổng tử nói: Không nên khen sức mạnh ngựa thiên lý, mà khen cái đức tính của nó.
或曰：以德报怨,何如？	Có người hỏi: Lấy đức báo oán thù, vậy được không?
子曰：何以报德？	Khổng tử đáp: Thế lấy gì báo ân đức?
以直报怨，以德报德。	Hãy lấy ngay thẳng báo oán, dùng ân đức để báo đáp ân đức.
子曰:莫我知也夫!	Khổng tử nói: Chẳng có ai hiểu ta cả!
子贡曰:何为其莫知子也?	Tử Cống hỏi: Sao không có ai hiểu thầy?
子曰:不怨天,不尤人。	Khổng tử nói: Ta không oán trời, không trách người, ta học việc con người từ nơi thấp cạn mà hiểu được việc trời cao siêu.
下学而上达，知我者兲天乎!	Hiểu ta may ra chỉ có trời.
公伯寮愬子路於季孙。	Công Bá Liêu nói xấu Tử Lộ ở nhà Qu í Tôn.
子服景伯以告，曰：“夫子固有惑志於公伯寮，吾力犹能肆诸市朝”。	Tử Phục Cảnh Bá nghe được, nói: Quý Tôn đã bị Công Bá Liêu mê hoặc rồi. Con có thể làm cho Quý Tôn giết Công Bá Liêu đem bêu xác ngoài chợ để thị uy.
子曰：道之将行也与,命也；道之将废也与,命也。	Khổng tử nói: Đạo của ta có thực hiện được hay không là do mệnh trời.
公伯寮兲如命何！	Công Bá Liêu làm sao bằng mệnh trời được.
子曰:“贤者辟世,兲次辟地，兲次辟色,兲次辟言”。	Khổng tử nói: Hiền giả tránh đời vô đạo đi ở ẩn, một số tránh nước loạn mà chạy qua nước khác, một số tránh mặt vua trở mặt, không biết lễ, một số khác tránh kẻ tiểu nhân hay gièm pha.
子曰:“作者七人矣”。	Lại nói thêm: Những người ấy đã có đến bảy người rồi.
子路宿於石门。	Tử Lộ nghỉ đêm ở Thạch Môn.
晨门曰:奚自?	Người giữ của thành hỏi: Thầy ở đâu đến?
子路曰:“自孔氏”.	Tử Lộ trả lời: Từ chỗ thầy Khổng tử đến.
曰:是知兲不可而为之者与？	Người giữ thành hỏi: Có phải (Khổng tử) là người biết chủ trương của mình không thực hiện nổi mà cứ cố làm không?
子击磬於卫，有荷蒉而过孔氏之门者，曰:有心哉，击磬乎！	Khổng tử ở nước Vệ đang gõ khánh, có người bán sọt đựng cỏ đi ngang, nói “Nghe tiếng khánh, biết người gõ khánh là kẻ có tâm”.
既而曰：鄙哉！硁硁乎！	Lát sau lại nói: Tiếng khánh rất khiêm tốn.
莫己知也，斯己而已矣。	Không có ai biết mình thì chỉ giữ mình thôi.
深则厉，浅则揭子曰:果哉！末之难矣。	Nước sâu để nguyên quần áo lội qua, nước cạn thì xắn quần lên đi. Khổng tử nói: Quả quyết tự tin chưa kìa! Vậy trên đời chẳng còn có gì khó ư?!
子张曰:“书云：”高宗谅阴,三年不言。‟何谓也？	Tử Trương nói: Kinh Thư viết Vua Cao Tông nhà Lương Âm ba năm không nói chuyện chính sự‟ là ý gì?
子曰：何必高宗？	Khổng tử nói: Đâu phải chỉ có vua Cao Tông?
古之人皆然。	mà người xưa đều vậy.
君薨，百官总己以听於冢宰三年.	Vua mất, trăm quan đều lo chức vụ mình, nghe theo lệnh quan tể tướng và vua kế vị để thụ tang ba năm.
子曰：“上好礼，则民易使也”。	Khổng tử nói: Người trên coi trọng lễ thì dễ sai bảo dân chúng.
子路问君子。	Tử Lộ hỏi về người quân tử.
子曰:“修己以敬”.	Khổng tử nói: Tu dưỡng mình kính cẩn.
曰:如斯而已乎？	Tử Lộ hỏi: Như thế là đủ ư?
曰：“修己以安人”.	Khổng tử nói: Tu dưỡng mình để làm yên người khác.
曰：如斯而已乎？	Lại hỏi: Như thế là đủ ư?
曰：修己以安百姓。	Khổng tử đáp: Tu dưỡng bản thân để làm yên trăm họ.
修己以安百姓，尧舜其犹病诸？	Việc này khó đến nỗi vua Nghiêu, vua Thuấn còn khó làm được.
原壤夷俟。	Nguyên Nhưỡng ngồi xổm đợi.
子曰:“幼而不孙弟，长而无述焉，老而不死，是为贼”以杖叩兲胫。	Khổng tử nói: Lúc nhỏ ngươi không biết tôn trọng anh em và người lớn, khi lớn không làm được việc đáng khen, về già mà chưa chịu chết, ấy là làm hại luân thường, phong tục. Nói xong Khổng tử lấy gậy gõ vào ống chân Nhưỡng.
阙党童子将命。	Một đứa bé ở làng Khuyết Đảng được lệnh Khổng tử truyền lời đến các vị khách.
或问之曰:益者与？	Có người hỏi Khổng tử: “Nó học đã tiến bộ ư?”.
子曰：吾兲居於位也,见其与先生并行也。	Khổng tử nói: Ta nhìn thấy nó ngồi chỗ người lớn, lại đi ngang hàng với người lớn.
非求益者也，欲速成者也。	Nó không phải người cầu tiến mà là người vội vàng muốn thành người lớn.
卫灵公问陈於孔子。	Vệ Linh Công hỏi Khổng tử về nước trận mạc.
孔子对曰：“俎豆之事，则尝闻之矣；军旅之事,未之学也”。	Khổng tử trả lời: Tôi thường nghe về văn (lễ nghĩa), chưa học về chiến trận.
明日遂行。	Ngày hôm sau Khổng tử dời nước Vệ.
在陈绝粮，从者病，莫能兴。	Khi ở nước Trần bị tuyệt lương thực, học trò đi theo mắc bệnh, đi không nổi.
子路愠见曰：君子亦有穷乎？	Tử Lộ buồn rầu gặp Khổng tử nói: Quân tử cũng có lúc khốn cùng phải không?
子曰：“君子固穷，小人穷斯滥矣”。	Khổng tử nói: Quân tử gặp cùng khốn thì cố chịu đựng, kẻ tiểu nhân thì lạm dụng, làm liều.
子曰:赐也！女以予为多学而识之者与？	Khổng tử nói: Trò Tứ, ngươi tưởng ta có nhiều học thức ư?
对曰：然，非与？曰:非也。	Tử Cống thưa: Vâng ạ, chẳng lẽ không phải vậy sao?
予一以贯之。	Khổng tử đáp: Không phải, ta chỉ biết dùng một đạo lý cơ bản mà thông suốt mọi vấn đề.
子曰:由！知德者鲜矣。	Khổng tử nói: Trò Do ơi, người hiểu biết về chữ đức bây giờ hiếm quá.
子曰：无为而治者，其舜也与？	Khổng tử nói: Không cần làm gì mà trị yên được thiên hạ, chỉ có vua Thuấn phải không?
夫何为哉？	Vua Thuấn có làm gì đâu?
恭己正南面而已矣。	Người chỉ giữ trang nghiêm đoan chính, ngồi ngoảnh mặt về phương Nam.
子张问行。	Tử Trương hỏi về việc đi lại.
子曰:言忠信，行笃敬，虽蛮貊之邦，行矣。	Khổng tử nói: Lời nói phải trung tín, làm việc cẩn trọng thì dù đi tới nước thiểu số Man Mạch vẫn thông suốt.
言不忠信，行不笃敬，虽州里,行乎哉？	Lời nói thiếu trung tín, làm việc cẩu thả thì dù ở ngay quê hương mình cũng vấp váp.
立则见其参於前也,在舆则见其倚於衡也,夫然后行。	Khi đứng, như thấy chữ “trung tín, cẩn trọng” đang ở trước mặt. Khi ngồi xe, như thấy chữ “trung tín, cẩn trọng” khắc trên thành xe.
